年月,收盤價(元)_月,開盤價(元)_月,正負報酬,rf
201804,75.76,80.88,1.0,0.0
201805,78.32,76.13,0.0,0.0
201806,76.03,78.78,1.0,0.0
201807,78.42,76.13,0.0,0.0
201808,75.34,78.52,0.0,1.0
201809,74.12,75.52,0.0,0.0
201810,60.78,74.77,0.0,1.0
201811,55.46,60.94,0.0,1.0
201812,54.61,56.39,0.0,1.0
201901,54.0,55.08,1.0,1.0
201902,56.08,55.0,1.0,1.0
201903,56.7,55.77,1.0,1.0
201904,67.03,59.4,0.0,1.0
201905,57.0,66.72,1.0,1.0
201906,59.7,56.54,1.0,1.0
201907,63.77,60.71,0.0,0.0
201908,60.2,63.12,0.0,0.0
201909,59.39,60.36,1.0,1.0
201910,65.39,58.57,1.0,1.0
201911,71.8,66.04,1.0,0.0
201912,73.66,71.88,0.0,1.0
202001,67.5,73.83,0.0,0.0
202002,65.15,64.5,0.0,0.0
202003,56.71,63.44,1.0,1.0
202004,62.47,57.2,0.0,1.0
202005,61.5,60.04,1.0,1.0
202006,70.01,61.66,0.0,1.0
202007,66.87,70.18,0.0,1.0
202008,65.6,66.87,1.0,1.0
202009,66.02,65.6,1.0,1.0
202010,66.11,66.7,1.0,0.0
202011,70.2,66.11,1.0,1.0
202012,78.48,70.37,1.0,1.0
202101,95.11,79.67,1.0,1.0
202102,95.54,94.68,1.0,1.0
202103,105.77,97.67,0.0,0.0
202104,98.95,106.2,0.0,1.0
202105,96.81,98.09,0.0,1.0
202106,95.54,97.67,1.0,0.0
202107,97.29,95.96,1.0,0.0
202108,98.17,98.17,0.0,0.0
202109,92.87,98.17,1.0,0.0
202110,94.64,92.42,0.0,0.0
202111,91.54,95.52,1.0,0.0
202112,91.98,91.54,0.0,0.0
202201,90.21,92.42,1.0,0.0
202202,91.1,90.66,1.0,0.0
202203,93.75,91.98,0.0,0.0
202204,90.21,92.87,1.0,0.0
202205,99.94,90.21,0.0,0.0
202206,96.4,99.5,1.0,0.0
202207,101.38,95.96,1.0,0.0
202208,101.38,100.91,0.0,0.0
202209,94.87,100.45,1.0,0.0
202210,95.33,93.94,0.0,0.0
202211,93.47,94.4,0.0,0.0
202212,92.91,94.4,0.0,0.0
202301,92.73,92.91,1.0,0.0
202302,93.94,93.47,1.0,1.0
202303,96.73,93.01,1.0,0.0
202304,97.19,97.19,1.0,1.0
202305,99.05,97.19,1.0,1.0
202306,105.1,99.05,1.0,0.0
202307,105.79,106.03,0.0,0.0
202308,103.84,106.76,0.0,1.0
202309,101.4,103.84,0.0,0.0
202310,94.09,101.4,1.0,0.0
202311,98.96,93.99,1.0,0.0
202312,101.89,98.48,0.0,1.0
202401,99.94,101.89,1.0,0.0
202402,100.43,99.94,1.0,0.0
202403,146.25,100.43,1.0,0.0
202404,152.1,147.23,1.0,0.0
202405,167.7,149.66,1.0,0.0
202406,208.65,172.58,0.0,1.0
202407,198.0,209.63,0.0,1.0
202408,184.5,205.0,1.0,0.0
202409,187.5,185.5,1.0,0.0
202410,211.5,189.0,0.0,0.0
202411,195.5,202.0,0.0,0.0
