年月,收盤價(元)_月,開盤價(元)_月,正負報酬,knn
201812,193.63,198.35,0.0,1.0
201901,189.76,194.49,1.0,1.0
201902,205.22,195.77,1.0,1.0
201903,210.8,205.65,1.0,1.0
201904,222.39,215.52,0.0,1.0
201905,202.21,224.54,1.0,1.0
201906,212.05,202.21,1.0,1.0
201907,230.23,217.81,0.0,1.0
201908,229.79,228.46,1.0,1.0
201909,243.15,228.9,1.0,1.0
201910,266.83,244.04,1.0,1.0
201911,272.65,267.73,1.0,1.0
201912,298.05,274.43,0.0,1.0
202001,288.15,299.4,0.0,1.0
202002,284.54,283.64,0.0,1.0
202003,249.12,277.34,1.0,1.0
202004,276.85,251.39,0.0,1.0
202005,265.48,267.76,1.0,1.0
202006,286.85,267.3,1.0,1.0
202007,389.96,288.69,1.0,1.0
202008,390.87,385.38,1.0,1.0
202009,399.01,394.08,0.0,1.0
202010,398.09,403.62,1.0,1.0
202011,442.78,399.01,1.0,1.0
202012,490.79,451.07,1.0,1.0
202101,547.28,490.79,1.0,1.0
202102,561.17,550.98,0.0,1.0
202103,545.8,575.06,1.0,1.0
202104,557.89,556.03,0.0,1.0
202105,555.1,553.24,1.0,1.0
202106,555.53,556.03,0.0,1.0
202107,541.53,556.47,1.0,1.0
202108,573.27,544.33,0.0,1.0
202109,543.99,573.27,1.0,1.0
202110,553.37,543.06,1.0,1.0
202111,559.0,554.31,1.0,1.0
202112,579.48,559.0,1.0,1.0
202201,599.26,583.25,0.0,1.0
202202,569.11,606.8,0.0,1.0
202203,565.3,564.4,0.0,1.0
202204,509.43,553.94,1.0,1.0
202205,530.27,509.43,0.0,1.0
202206,453.18,520.8,1.0,1.0
202207,484.59,448.89,0.0,1.0
202208,480.78,481.74,0.0,1.0
202209,404.08,471.26,0.0,1.0
202210,373.44,400.73,1.0,1.0
202211,469.19,372.0,0.0,1.0
202212,431.93,484.51,1.0,1.0
202301,502.71,429.52,0.0,1.0
202302,492.12,512.34,1.0,1.0
202303,516.08,485.38,0.0,1.0
202304,486.07,513.18,1.0,1.0
202305,540.29,484.13,1.0,1.0
202306,560.33,532.54,0.0,1.0
202307,549.63,562.27,0.0,1.0
202308,534.06,549.63,0.0,1.0
202309,511.61,528.23,1.0,1.0
202310,517.48,518.45,1.0,1.0
202311,564.43,521.39,1.0,1.0
202312,583.11,560.52,1.0,1.0
202401,617.53,580.16,1.0,1.0
202402,678.5,614.58,1.0,1.0
202403,769.59,685.38,1.0,1.0
202404,780.46,773.54,1.0,1.0
202405,811.08,779.47,1.0,1.0
202406,958.02,828.86,0.0,1.0
202407,926.28,960.0,1.0,1.0
202408,936.2,961.0,1.0,1.0
202409,953.34,942.15,1.0,1.0
202410,1026.06,963.3,0.0,1.0
202411,992.19,992.19,1.0,1.0
