年月,收盤價(元)_月,開盤價(元)_月,正負報酬,svm
202004,306.74,246.13,1.0,1.0
202005,342.22,298.61,1.0,1.0
202006,427.96,345.92,1.0,1.0
202007,527.62,436.09,0.0,1.0
202008,418.48,559.23,1.0,1.0
202009,456.87,420.74,1.0,1.0
202010,510.31,462.14,1.0,1.0
202011,529.88,519.34,1.0,1.0
202012,562.24,526.87,1.0,1.0
202101,658.58,568.26,1.0,1.0
202102,674.39,666.86,1.0,1.0
202103,729.33,692.45,1.0,1.0
202104,891.91,736.11,0.0,1.0
202105,748.9,884.38,0.0,1.0
202106,724.06,756.43,0.0,1.0
202107,712.47,730.84,0.0,1.0
202108,705.43,723.43,1.0,1.0
202109,708.56,717.95,1.0,1.0
202110,714.82,708.56,1.0,1.0
202111,790.77,724.22,1.0,1.0
202112,931.69,798.59,0.0,1.0
202201,841.66,943.44,1.0,1.0
202202,849.49,884.72,0.0,1.0
202203,708.56,865.14,0.0,1.0
202204,649.84,704.64,1.0,1.0
202205,708.56,649.84,0.0,1.0
202206,560.39,706.99,1.0,1.0
202207,587.94,561.25,0.0,1.0
202208,574.16,588.8,0.0,1.0
202209,474.31,563.83,1.0,1.0
202210,507.88,467.42,1.0,1.0
202211,630.98,509.6,0.0,1.0
202212,538.01,645.61,1.0,1.0
202301,618.06,536.29,1.0,1.0
202302,622.37,623.23,1.0,1.0
202303,677.46,634.42,0.0,1.0
202304,572.44,666.27,1.0,1.0
202305,653.36,562.97,1.0,1.0
202306,655.73,649.91,1.0,1.0
202307,657.64,659.55,1.0,1.0
202308,671.94,667.17,1.0,1.0
202309,700.53,673.84,1.0,1.0
202310,802.51,711.97,1.0,1.0
202311,900.68,813.95,1.0,1.0
202312,967.4,897.82,0.0,1.0
202401,945.09,962.63,1.0,1.0
202402,1115.33,930.42,1.0,1.0
202403,1169.14,1139.78,0.0,1.0
202404,970.53,1164.24,1.0,1.0
202405,1208.27,968.57,1.0,1.0
202406,1369.7,1237.62,0.0,1.0
202407,1220.0,1374.59,1.0,1.0
202408,1240.0,1215.0,0.0,1.0
202409,1175.0,1240.0,1.0,1.0
202410,1290.0,1195.0,0.0,1.0
202411,1255.0,1220.0,1.0,1.0
